"ID","ELEC_TYPE_NAME","VOLT_NAME","PRC_NAME","CONTRACT_CAP","RUN_CAP","SHIFT_NO","BUILD_DATE","CANCEL_DATE","CHK_CYCLE","LAST_CHK_DATE","TMP_NAME","TMP_DATE"
"179406029","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406030","城镇居民生活用电","交流220V","居民生活<1kV(合表)","12.000000","12.000000","","1998/12/1","","24","1998/12/1","非临时用电",""
"179406094","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1999/4/1","","24","1999/4/1","非临时用电",""
"179406097","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","1999/3/1","","36","1999/3/1","非临时用电",""
"179406099","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406175","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406176","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406179","城镇居民生活用电","交流220V","居民生活<1kV(合表)","12.000000","12.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406180","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406223","城镇居民生活用电","交流380V","居民生活<1kV(合表)","20.000000","20.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406294","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406372","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1999/1/1","","24","1999/1/1","非临时用电",""
"179406377","城镇居民生活用电","交流220V","居民生活<1kV(合表)","8.000000","8.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406381","城镇居民生活用电","交流220V","居民生活<1kV(合表)","12.000000","12.000000","","1998/12/1","","24","1998/12/1","非临时用电",""
"179406389","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406441","城镇居民生活用电","交流380V","居民生活<1kV(合表)","60.000000","60.000000","1","1998/12/1","","12","2021/3/1","非临时用电",""
"179406486","城镇居民生活用电","交流380V","居民生活<1kV(合表)","100.000000","100.000000","1","1998/12/1","","12","2021/3/1","非临时用电",""
"179406487","城镇居民生活用电","交流380V","居民生活<1kV(合表)","10.000000","10.000000","1","1998/12/1","","12","2021/3/1","非临时用电",""
"179406508","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406533","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406552","普通工业","交流380V","居民生活<1kV(合表)","36.000000","36.000000","1","1998/12/1","","12","2021/3/1","非临时用电",""
"179406578","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406590","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406603","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406614","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406615","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1998/12/1","","24","2018/6/14","非临时用电",""
"179406635","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1999/1/1","","24","1999/1/1","非临时用电",""
"179406637","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1999/1/1","","24","1999/1/1","非临时用电",""
"179406638","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1999/1/1","","24","1999/1/1","非临时用电",""
"179406639","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1999/1/1","","24","1999/1/1","非临时用电",""
"179406656","城镇居民生活用电","交流220V","居民生活<1kV(合表)","8.000000","8.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406659","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1999/6/1","","24","1999/6/1","非临时用电",""
"179406669","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179406760","学校教学和学生生活用电","交流380V","居民生活<1kV(合表)","300.000000","300.000000","1","1998/12/1","","24","2019/9/30","非临时用电",""
"179406792","城镇居民生活用电","交流220V","居民生活<1kV(合表)","4.000000","4.000000","1","2000/3/1","","24","2000/3/1","非临时用电",""
"179406793","城镇居民生活用电","交流220V","居民生活<1kV(合表)","12.000000","12.000000","1","2000/3/1","","24","2000/3/1","非临时用电",""
"179406820","城镇居民生活用电","交流380V","居民生活<1kV(合表)","20.000000","20.000000","1","1998/12/1","","12","2021/3/1","非临时用电",""
"179406824","非居民照明","交流380V","居民生活<1kV(合表)","20.000000","20.000000","1","1998/12/1","","12","2021/3/1","非临时用电",""
"179406876","城镇居民生活用电","交流380V","居民生活<1kV(合表)","30.000000","30.000000","","2000/3/1","","24","2000/3/1","非临时用电",""
"179406928","城镇居民生活用电","交流380V","居民生活<1kV(合表)","28.000000","28.000000","","1998/12/1","","24","1998/12/1","非临时用电",""
"179406939","城镇居民生活用电","交流220V","居民生活<1kV(合表)","12.000000","12.000000","1","1999/6/1","","24","1999/6/1","非临时用电",""
"179407007","城镇居民生活用电","交流220V","居民生活<1kV(合表)","2.000000","2.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179407013","城镇居民生活用电","交流220V","居民生活<1kV(合表)","8.000000","8.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
"179407017","城镇居民生活用电","交流220V","居民生活<1kV(合表)","8.000000","8.000000","1","1998/12/1","","24","1998/12/1","非临时用电",""
