# f1: 0.72392024886
id,label
179406029,0
179406030,0
179406094,0
179406097,0
179406099,0
179406175,0
179406176,0
179406179,0
179406180,0
179406223,0
179406294,0
179406372,0
179406377,0
179406381,0
179406389,0
179406441,0
179406486,0
179406487,0
179406508,0
179406533,0
179406552,0
179406578,0
179406590,0
179406603,0
179406614,0
179406615,0
179406635,0
179406637,0
179406638,0
179406639,0
179406656,0
179406659,0
179406669,0
179406760,0
179406792,0
179406793,0
179406820,0
179406824,0
179406876,0
179406928,0
179406939,0
179407007,0
179407013,0
179407017,0
179407021,0
179407075,0
179407112,0
179407133,0
179407177,0
179407206,0
179407239,0
179407263,0
179407295,0
179407318,0
179407385,0
179407386,0
179407393,0
179407407,0
179407409,0
179407410,0
179407460,0
179407580,0
179407584,0
179407589,0
179407591,0
179407620,0
179407621,0
179407666,0
179407669,0
179407717,0
179407787,0
179407883,0
179407885,0
179407887,0
179407925,0
179407930,0
179410908,0
179411001,0
179411011,0
179411033,0
179411042,0
179411049,0
179411183,0
179411186,0
179411205,0
179411212,0
179411216,0
179411242,0
179411274,0
179411277,0
179411284,0
179411307,0
179411309,0
179411384,0
179411413,0
179411473,0
179411474,0
179411480,0
179411486,0
179411491,0
179411521,0
179411552,0
179411557,0
179411570,0
179411581,0
179411590,0
179411635,0
179411637,0
179411642,0
179411652,0
179411678,0
179411717,0
179411745,0
179411754,0
179411760,0
179411774,0
179411780,0
179411806,0
179411839,0
179411879,0
179411880,0
179411902,0
179411916,0
179411955,0
179411979,0
179411980,0
179412012,0
179412021,0
179412040,0
179412041,0
179412065,0
179412101,0
179412102,0
179412106,0
179412122,0
179412145,0
179412160,0
179412202,0
179412206,0
179412223,0
179412232,0
179412250,0
179412259,0
179412313,0
179412330,0
179412336,0
179412341,0
179412349,0
179412367,0
179412368,0
179412375,0
179412386,0
179412394,0
179412402,0
179412429,0
179412435,0
179412474,0
179412475,0
179412477,0
179412478,0
179412486,0
179412487,0
179412488,0
179412523,0
179412530,0
179412560,0
179412605,0
179412654,0
179412674,0
179412684,0
179412701,0
179412705,0
179412707,0
179412761,0
179412772,0
179412780,0
179412797,0
179412811,0
179412817,0
179412826,0
179412848,0
179412853,0
179412862,0
179412872,0
179412877,0
179412879,0
179412899,0
179412910,0
179412936,0
179412937,0
179412943,0
179412961,0
179412963,0
179412974,0
179412978,0
179412984,0
179412999,0
179413004,0
179413007,0
179413023,0
179413024,0
179413031,0
179413044,0
179413051,0
179413056,0
179413057,0
179413080,0
179413084,0
179413087,0
179413107,0
179413129,0
179413134,0
179413146,0
179413156,0
179413159,0
179413165,0
179413173,0
179413178,0
179413197,0
179413203,0
179413215,0
179413225,0
179413229,0
179413231,0
179413232,0
179407935,0
179407945,0
179407949,0
179407990,0
179407991,0
179408024,0
179408046,0
179408072,0
179408115,0
179408130,0
179408145,0
179408276,0
179408283,0
179408347,0
179408381,0
179408430,0
179408486,0
179408495,0
179408514,0
179408789,0
179408792,0
179408924,0
179408938,0
179408979,0
179409085,0
179409090,0
179409104,0
179409123,0
179409204,0
179409231,0
179409232,0
179409239,0
179409501,0
179409579,0
179409590,0
179409631,0
179409636,0
179409725,0
179409846,0
179409926,0
179409998,0
179410069,0
179410099,0
179410145,0
179410146,0
179410171,0
179410184,0
179410220,0
179410259,0
179410261,0
179410270,0
179410271,0
179410341,0
179410370,0
179410447,0
179410494,0
179410505,0
179410592,0
179410611,0
179410614,0
179410628,0
179410632,0
179410648,0
179410649,0
179410693,0
179410694,0
179410710,0
179410716,0
179410747,0
179410758,0
179410790,0
179410826,0
179410834,0
179410865,0
179410867,0
179557817,0
179571094,0
362394475,0
396015471,0
400849958,0
411628206,0
411630236,0
413987913,0
440775153,0
1382722660,0
1456891184,0
1470380739,0
1554239663,0
1554334670,0
1923399516,0
2162131932,0
2486420840,0
179488202,0
348673355,0
362400993,0
400930083,0
413987896,0
414049349,0
858465060,0
1479434063,0
1559187686,0
1747398998,0
1883035565,0
2556887785,0
179404109,0
179404120,0
179404121,0
179404126,0
179404130,0
179404189,0
179404385,0
179404446,0
179404447,0
179404448,0
179404615,0
179404616,0
179404622,0
179404689,0
179404701,0
179404762,0
179404765,0
179404839,0
179404916,0
179405005,0
179405072,0
179405084,0
179405088,0
179405103,0
179405167,0
179405186,0
179405275,0
179405290,0
179405309,0
179405370,0
179405512,0
179405642,0
179405664,0
179405669,0
179405672,0
179405675,0
179405695,0
179405702,0
179405796,0
179405823,0
179405824,0
179405828,0
179405989,0
179405990,0
179405997,0
179424479,0
179424483,0
179424489,0
179424511,0
179424543,0
179424632,0
179424792,0
179424874,0
179424882,0
179424904,0
179424908,0
179424948,0
179424972,0
179425039,0
179425043,0
179425049,0
179425118,0
179425120,0
179425191,0
179425194,0
179425196,0
179425232,0
179425250,0
179425267,0
179425270,0
179425276,0
179425278,0
179425279,0
179425281,0
179425296,0
179425310,0
179425317,0
179425342,0
179425344,0
179425347,0
179425422,0
179425451,0
179425458,0
179425472,0
179425519,0
